G47,G48,G36,G755,G40,G733,G781,G753,G756,G720,G746,G744,G764,G716,G758,G760,G748,G717,G763,G778,G34,G728,G718,G780,G727,G37,G757,G722,G747,G538,G732,G729,G761,G762,G724,G726,G731,G759,G719,G723,G715,G552,G713,G745,G736,G725
6.6338,7.9072,7.9336,8.4988,7.6604,8.0953,7.3921,7.2893,7.0426,7.2232,6.8952,5.9277,8.47,6.6913,8.3328,8.3389,7.9261,7.0344,8.2593,7.7215,8.1873,8.4497,7.0909,7.5533,7.6311,8.5303,8.1464,6.8444,7.9293,7.0929,5.8892,9.379,7.9556,7.2755,7.0999,7.8918,8.0767,7.5918,6.9131,7.3474,8.0353,8.6011,11.826,7.939,6.7667,10.745
6.4747,7.9638,7.8797,8.3639,7.5336,8.0312,7.1811,7.2043,6.8031,7.1726,6.8091,5.7831,8.4521,6.755,8.2245,8.2047,7.9736,6.9981,8.1027,7.5822,8.0993,8.2653,6.8714,7.4384,7.4847,8.3632,7.9169,6.8094,7.8477,7.0413,5.8878,9.1085,7.9311,7.1657,7.0088,7.5933,7.8071,7.5422,6.9353,7.1883,7.9683,8.1108,12.031,8.0692,6.7449,10.394
6.7073,8.0135,7.9286,8.5655,7.5261,8.2118,7.2502,7.4023,7.0768,7.1177,6.8953,6.0366,8.5943,6.8253,8.373,8.4302,7.8983,7.0111,8.1529,7.6575,8.108,8.3493,6.9317,7.5165,7.5775,8.5304,8.1799,6.9371,7.9245,7.1224,6.0588,9.2891,8.1525,7.2686,7.0132,7.7405,7.842,7.6631,6.8894,7.3031,8.0389,8.5354,11.806,8.246,6.7356,10.9
6.8551,8.0114,7.8914,8.3853,7.4422,7.9579,7.4947,7.562,7.3218,7.1675,7.2318,5.7687,8.2434,6.546,8.5477,8.6312,7.8797,6.8405,8.1844,7.7276,8.0877,8.4222,6.9225,7.674,7.6495,8.4995,8.4499,6.9722,7.7737,7.2252,6.0762,9.5711,8.2433,7.4024,7.1345,7.8858,8.224,7.7626,6.9666,7.3266,7.9106,7.4244,11.253,8.0738,6.7024,9.9533
6.582,7.9324,8.0232,8.3792,7.6977,8.0968,7.4304,7.4688,7.0679,7.2234,7.1046,5.7039,8.2892,6.6296,8.4803,8.5249,7.8509,6.8795,8.1295,7.8693,8.0822,8.3907,6.9264,7.5255,7.5182,8.551,8.2715,6.9352,7.9416,7.107,5.914,9.4573,8.3045,7.4578,7.0273,7.7331,8.0901,7.9118,7.1225,7.2258,7.9902,7.3761,11.483,7.9966,6.8179,9.8959
6.543,7.9881,8.189,8.6979,7.7113,8.0661,7.418,7.4649,7.075,7.1714,7.0251,5.7018,8.2778,6.6512,8.3768,8.3509,7.9585,7.0462,8.0551,7.7558,8.1002,8.246,6.8965,7.6566,7.2632,8.5702,8.0455,6.8411,7.8206,7.5965,5.8462,9.3764,8.1231,7.2214,7.0414,7.666,7.9125,7.7313,6.9925,7.0198,7.8163,7.3833,11.395,7.8526,6.8527,10.095
6.3158,7.7682,7.9782,8.6576,7.5352,8.3068,7.2321,7.4983,6.8132,7.1322,6.9584,5.6832,8.2802,6.6558,8.2184,8.0871,7.7969,6.8768,8.1307,7.546,8.0364,8.1002,6.959,7.3765,7.4381,8.3071,7.8734,6.7102,7.7501,7.0339,5.9428,9.1307,7.756,6.8049,6.9947,7.776,7.7503,7.3195,6.945,7.0737,7.8663,8.86,11.381,7.3727,6.9829,9.0662
6.7041,7.8704,7.9723,8.754,7.613,8.269,7.3347,7.4965,6.8966,7.0599,6.9763,5.7951,8.4651,6.6399,8.2549,8.2466,7.8602,6.8669,8.2354,7.6175,8.105,8.3823,7.0071,7.4562,7.4661,8.4106,8.0273,6.717,7.8661,7.0814,5.9186,9.256,7.7941,6.9596,6.9585,7.7133,7.8614,7.3877,6.8518,7.1909,8.0623,9.7903,11.635,7.5245,7.0069,8.9549
6.7767,7.8399,8.0882,8.5814,7.6252,8.3442,7.4896,7.7608,7.1304,7.1688,6.995,5.7243,8.4005,6.6862,8.3725,8.2662,7.8676,6.8531,8.327,7.7408,8.167,8.3393,7.0193,7.5449,7.6404,8.4097,8.1137,6.7661,7.8816,7.1299,6.2708,9.3992,7.9567,7.2867,7.0699,7.8057,8.1171,7.6603,6.9689,7.3536,7.9148,8.2036,11.794,7.395,7.1475,9.4447
6.6123,7.9871,7.9078,8.445,7.6756,8.1494,7.3988,7.3568,6.995,7.1529,6.9574,5.8453,8.4216,6.8026,8.3014,8.3701,7.7781,6.7246,8.2839,7.8846,8.1564,8.3417,7.0131,7.5008,7.4424,8.5259,8.0384,6.793,7.782,6.8725,5.8653,9.3595,7.8537,7.2262,7.0145,7.6315,7.8642,7.5913,6.8235,7.1703,8.0991,7.2272,11.633,7.9268,6.783,10.282
6.4962,7.883,7.7925,8.1079,7.442,8.0337,7.304,7.3286,6.9321,7.1657,6.8743,5.5782,8.3864,6.6351,8.2778,8.1836,7.7798,6.8303,8.1616,7.7337,7.8717,8.3277,7.0029,7.4605,7.5069,8.413,7.9425,6.8511,7.6063,6.9362,5.0877,8.5278,7.8819,7.0795,7.0013,7.755,7.177,7.4191,6.8541,7.1888,7.812,7.3257,11.63,7.8322,6.6155,10.264
6.497,7.8471,7.7778,8.421,7.2909,7.8857,7.2412,7.3796,6.8594,7.156,6.7244,5.7908,8.4116,6.5541,8.235,8.1369,7.8465,6.7873,8.0346,7.5717,7.9088,8.2666,6.9615,7.3925,7.3392,8.2063,7.9165,6.7557,7.6779,7.1644,5.9142,9.1419,7.896,6.9899,6.9728,7.6719,7.8494,7.3734,6.862,7.1668,7.9152,7.0791,11.661,7.8109,6.5714,10.406
