Regulator	Target	MI	pvalue
'rfaY'	'rfaJ'	1.6303685718500247	1.1174648288925226E-6
'groL'	'groS'	0.9310092192689967	1.1174648288925226E-6
'yfaL'	'ydeU'	0.8956961840311287	9.363861686247921E-4
'yeaN'	'yebQ'	0.9331492922701579	1.1174648288925226E-6
'lpxM'	'ldcA'	0.6985327462557969	9.363861686247921E-4
'ycgM'	'ycgJ'	0.8271539692445412	9.363861686247921E-4
'narX'	'narL'	0.8061470253092471	1.1174648288925226E-6
'folE'	'glyA'	0.8597265833732128	1.1174648288925226E-6
'abgA'	'torA'	0.892848979616019	9.363861686247921E-4
'ycgM'	'ycgL'	1.025413658356999	1.1174648288925226E-6
'mtlR'	'mtlD'	0.6896697520419715	1.1174648288925226E-6
'bglB'	'glvC'	0.7566490606618915	9.363861686247921E-4
'phoP'	'ydjA'	0.6941425392751563	9.363861686247921E-4
'djlB'	'yafL'	0.6085504036040396	9.363861686247921E-4
'yeiC'	'fryB'	0.9124477506087016	9.363861686247921E-4
'trpC'	'trpB'	1.318791549443746	1.1174648288925226E-6
'yggL'	'dut'	0.6349716567687521	9.363861686247921E-4
'gdhA'	'aroD'	1.070901138502511	9.363861686247921E-4
'dgkA'	'yrdA'	0.6912277279399502	9.363861686247921E-4
'malX'	'mglC'	0.7295043938779877	1.1174648288925226E-6
'flgD'	'flgA'	1.5254242230300086	9.363861686247921E-4
'rfaY'	'rfaB'	1.6033435863219878	9.363861686247921E-4
'astD'	'astE'	1.2002603042084155	1.1174648288925226E-6
'ydfN'	'nfrA'	0.7685696676635562	9.363861686247921E-4
'flgD'	'flgC'	1.6945933883998068	9.363861686247921E-4
'cybB'	'rstA'	0.7718331818368899	9.363861686247921E-4
'gsiB'	'gsiA'	0.9260833582275033	9.363861686247921E-4
'ynbA'	'yddL'	0.9525051640738165	1.1174648288925226E-6
'manA'	'ydhF'	0.7627660023655753	9.363861686247921E-4
'trpC'	'trpD'	1.3963093950399397	1.1174648288925226E-6
'ygaH'	'ygaZ'	1.2985108160364671	1.1174648288925226E-6
'gsiB'	'gsiC'	0.9582223308666067	1.1174648288925226E-6
'ybgP'	'ybgO'	0.6188715006328345	1.1174648288925226E-6
'ynjA'	'ydjZ'	0.9718180933599273	9.363861686247921E-4
'putP'	'putA'	0.6610657647781387	9.363861686247921E-4
'yadI'	'yahN'	0.5082303738537999	1.1174648288925226E-6
'gsiB'	'gsiD'	0.7218767090332339	9.363861686247921E-4
'cheA'	'tsr'	0.9128346217938441	9.363861686247921E-4
'ybgQ'	'glxK'	0.8332591868422126	1.1174648288925226E-6
'fdnG'	'fadK'	1.0220035588048326	9.363861686247921E-4
'yhaI'	'yijE'	0.5847927563522152	9.363861686247921E-4
'ykfC'	'cynT'	0.5596553428740461	1.1174648288925226E-6
'aroD'	'gdhA'	1.0879077231271834	1.1174648288925226E-6
'yiaB'	'yiaA'	1.141657131792669	1.1174648288925226E-6
'mmuP'	'ilvH'	0.652683209420803	9.363861686247921E-4
'nrdH'	'nrdI'	1.0420669842075614	1.1174648288925226E-6
'araJ'	'araB'	0.8092573370111914	9.363861686247921E-4
'cdaR'	'nagE'	0.45138019346053976	9.363861686247921E-4
'kduD'	'kduI'	0.5840468813580815	9.363861686247921E-4
'ydhP'	'thiD'	0.9022000655942671	9.363861686247921E-4
'bfd'	'fecI'	0.683561668940782	9.363861686247921E-4
'ydiQ'	'ydiP'	0.8486530666524296	9.363861686247921E-4
'rcsC'	'ycgM'	0.7332845874539414	9.363861686247921E-4
'ykgN'	'yjhU'	0.6498093159125478	1.1174648288925226E-6
'ydiQ'	'ydiO'	0.9850273707777616	9.363861686247921E-4
'yagL'	'yagM'	0.5539908995335738	1.1174648288925226E-6
'ydiQ'	'ydiR'	0.9737008860729555	1.1174648288925226E-6
'aat'	'ycgN'	0.6493831345376545	9.363861686247921E-4
'yidI'	'kdgT'	0.7145118977613132	1.1174648288925226E-6
'ubiE'	'hemX'	0.911030067142595	1.1174648288925226E-6
'fecD'	'fecC'	0.9611266272984682	1.1174648288925226E-6
'frc'	'focB'	0.48859673254617747	9.363861686247921E-4
'ileT'	'alaT'	0.8303369781800165	1.1174648288925226E-6
'ygeH'	'ygeG'	0.8099771962811841	1.1174648288925226E-6
'yeiN'	'yeiC'	0.7466754591700324	9.363861686247921E-4
'tdk'	'ychJ'	0.8040765408514656	1.1174648288925226E-6
'yfcR'	'yfdT'	0.723299296482923	1.1174648288925226E-6
'glk'	'gatY'	0.520678641209115	9.363861686247921E-4
'rffH'	'rffD'	0.8663227689901486	9.363861686247921E-4
'cedA'	'ycjW'	0.8720472851065013	9.363861686247921E-4
'aldB'	'ugpE'	0.6364237409014626	1.1174648288925226E-6
'mraY'	'secA'	0.6402415339484877	9.363861686247921E-4
'pal'	'tolB'	0.9873035247630817	9.363861686247921E-4
'rhaS'	'rhaB'	0.8847323842013244	1.1174648288925226E-6
'dcuB'	'fumB'	0.5829799587012758	1.1174648288925226E-6
'yaiL'	'yajD'	0.47830526260932044	9.363861686247921E-4
'sirA'	'dfp'	0.7072653678482869	9.363861686247921E-4
'ymgD'	'ymgG'	0.7717916397898017	1.1174648288925226E-6
'yjeF'	'yjeE'	0.6247173421444774	1.1174648288925226E-6
'yciF'	'yciG'	1.1871423204078484	1.1174648288925226E-6
'wzzE'	'rfe'	1.0945030798405229	1.1174648288925226E-6
'yjfM'	'glvC'	0.7744411993699936	1.1174648288925226E-6
'yciF'	'yciE'	1.1622981787863607	1.1174648288925226E-6
'lpxM'	'nlpC'	0.7175272786323088	9.363861686247921E-4
'marC'	'folM'	0.9540909547580085	9.363861686247921E-4
'fklB'	'hupA'	0.6691987917558473	1.1174648288925226E-6
'ypjA'	'yfbK'	0.7482614490120177	9.363861686247921E-4
'betI'	'betB'	1.2466512240350465	1.1174648288925226E-6
'yhdU'	'uspE'	0.5854845236870085	9.363861686247921E-4
'yciO'	'relE'	0.7110593198584958	9.363861686247921E-4
'secB'	'tatA'	0.7415229308860823	9.363861686247921E-4
'ybfN'	'ompG'	0.7377983267609075	9.363861686247921E-4
'fepA'	'entD'	0.7271470640771363	1.1174648288925226E-6
'astD'	'astA'	1.3000605668939942	1.1174648288925226E-6
'astD'	'astB'	1.2514766179272092	9.363861686247921E-4
'fepA'	'entF'	1.045985222727907	9.363861686247921E-4
'rhaS'	'rhaR'	0.8322942389312628	9.363861686247921E-4
'yoaD'	'cheZ'	0.8425316208112065	9.363861686247921E-4
'abgT'	'citC'	0.6150761842007318	9.363861686247921E-4
'yliI'	'ydcK'	0.8240701444866749	9.363861686247921E-4
